anime,oseba,vloga
37999,41328,Main
37999,17635,Main
37999,21543,Supporting
37999,48122,Supporting
37999,160,Supporting
37999,47097,Supporting
37999,1538,Supporting
37999,26543,Supporting
37999,16583,Director
37999,8074,Sound Director
37999,47809,Episode Director
37999,14217,Episode Director
18897,11184,Main
18897,185,Main
18897,1764,Main
18897,10071,Supporting
18897,817,Supporting
18897,672,Supporting
18897,11784,Supporting
18897,257,Supporting
18897,92,Supporting
18897,160,Supporting
18897,14031,Producer
18897,27919,Producer
18897,5089,Director
18897,8584,Director
18153,16135,Main
18153,857,Main
18153,735,Main
18153,53,Main
18153,13,Supporting
18153,8478,Supporting
18153,256,Supporting
18153,94,Supporting
18153,25395,Supporting
18153,56,Supporting
18153,38029,Producer
18153,38027,Producer
18153,8129,Director
18153,7194,Sound Director
34599,655,Main
34599,39149,Main
34599,16453,Supporting
34599,92,Supporting
34599,6,Supporting
34599,413,Supporting
34599,90,Supporting
34599,599,Supporting
34599,12705,Supporting
34599,45590,Supporting
34599,11507,Director
34599,35729,Sound Director
34599,9513,Episode Director
34599,49292,Episode Director
23283,18227,Main
23283,20156,Main
23283,7492,Main
23283,17215,Main
23283,12961,Supporting
23283,9749,Supporting
23283,25999,Supporting
23283,33449,Supporting
23283,27667,Supporting
23283,33021,Supporting
23283,33711,Producer
23283,21611,Producer
23283,2009,Director
23283,18371,Episode Director
28891,15919,Main
28891,20156,Main
28891,270,Supporting
28891,87,Supporting
28891,1764,Supporting
28891,672,Supporting
28891,513,Supporting
28891,1762,Supporting
28891,88,Supporting
28891,15743,Supporting
28891,49895,Producer
28891,18823,Director
28891,7469,Sound Director
28891,41455,Episode Director
853,65,Main
853,90,Main
853,5,Main
853,235,Main
853,42,Main
853,222,Main
853,114,Main
853,58,Supporting
853,499,Supporting
853,98,Supporting
853,203,Producer
853,6519,Producer
853,6758,Producer
853,10087,Director
11741,13,Main
11741,88,Main
11741,1,Main
11741,91,Main
11741,92,Main
11741,116,Supporting
11741,146,Supporting
11741,120,Supporting
11741,277,Supporting
11741,117,Supporting
11741,14031,Producer
11741,9323,Producer
11741,12163,Director
11741,6016,Sound Director
11771,819,Main
11771,1154,Main
11771,95,Supporting
11771,118,Supporting
11771,1762,Supporting
11771,212,Supporting
11771,5,Supporting
11771,735,Supporting
11771,152,Supporting
11771,371,Supporting
11771,49895,Producer
11771,9903,Producer
11771,5805,Director
11771,16749,Sound Director
34933,869,Main
34933,24265,Main
34933,39625,Main
34933,655,Supporting
34933,99,Supporting
34933,12079,Supporting
34933,99,Supporting
34933,21515,Supporting
34933,2,Supporting
34933,33019,Supporting
34933,20016,Director
34933,35673,Sound Director
34933,6856,Episode Director
34933,7071,Script
37510,79,Main
37510,27243,Main
37510,146,Main
37510,11817,Main
37510,88,Main
37510,129,Supporting
37510,17215,Supporting
37510,5997,Supporting
37510,1052,Supporting
37510,16,Supporting
37510,6519,Producer
37510,18371,Director
37510,33967,Sound Director
37510,39347,Episode Director
5680,599,Main
5680,7263,Main
5680,6996,Main
5680,6634,Main
5680,6560,Main
5680,7254,Supporting
5680,126,Supporting
5680,7278,Supporting
5680,9557,Supporting
5680,168,Supporting
5680,8085,Producer
5680,38029,Producer
5680,7498,Director
5680,7194,Sound Director
2025,174,Main
2025,207,Main
2025,81,Main
2025,188,Main
2025,803,Main
2025,71,Supporting
2025,21,Supporting
2025,457,Supporting
2025,256,Supporting
2025,310,Supporting
2025,203,Producer
2025,661,Producer
2025,2762,Director
2025,27769,Director
14513,890,Main
14513,672,Main
14513,10217,Main
14513,212,Supporting
14513,1762,Supporting
14513,819,Supporting
14513,79,Supporting
14513,185,Supporting
14513,513,Supporting
14513,38368,Producer
14513,51843,Producer
14513,8187,Director
14513,7469,Sound Director
849,4,Main
849,2,Main
849,53,Main
849,105,Main
