anime,studio
1145,1
2330,80
2214,200
1163,1
19919,1560
23787,73
973,3
582,207
36483,1258
34411,1209
29941,406
37268,911
4549,41
1450,14
2828,11
21267,605
15045,432
32454,1237
2044,1
546,81
1792,14
39592,14
1246,8
3044,200
1249,14
485,207
31578,833
40272,132
337,154
35183,37
16211,73
1578,41
141,91
1448,18
2903,18
3710,18
1988,38
633,50
38860,37
38254,1278
421,24
2400,18
17249,103
1534,18
115,48
1490,175
13163,587
1279,1
2204,73
1846,329
1410,10
13231,103
750,37
17731,91
37036,126
286,73
34402,354
1541,77
604,1
278,86
31139,1264
31884,18
2106,41
1349,107
69,14
17267,7
1703,11
5505,83
15043,911
1941,101
2747,68
636,11
34978,73
1864,41
951,22
1316,10
17849,723
4362,444
505,34
40763,290
817,60
3010,242
446,43
311,11
38162,473
1098,3
630,11
331,22
21407,18
21835,18
652,11
2762,86
8206,73
22955,94
2965,37
344,86
2113,103
2041,22
1156,3
13141,723
706,81
41574,1396
37204,1258
929,14
6008,126
1972,36
1180,1
1985,18
1128,120
31227,18
2014,37
2705,10
3272,18
2162,78
38262,1111
34295,541
2489,126
1022,103
8217,126
598,81
40085,418
653,11
1706,258
9241,406
2389,103
40228,73
32309,291
3668,73
1704,37
38009,96
22831,18
1542,14
34290,18
34771,1
37988,3
1196,8
13159,247
39194,10
2032,10
2281,86
3000,37
148,37
835,218
776,7
1167,409
685,28
1628,207
3009,18
961,65
614,7
943,11
40850,1999
959,22
328,28
386,196
27629,7
1655,101
1693,10
1312,27
1149,3
19067,27
22693,126
1663,22
1608,1435
2109,27
33027,103
33572,1569
2335,413
2542,65
1675,60
1561,120
31196,73
3053,1
3692,18
1070,81
2684,73
577,63
1226,14
36536,1075
1371,200
1508,77
32772,1
10348,444
1853,18
35883,400
12123,605
3101,196
37747,1264
3670,103
10217,7
37476,28
4690,18
34337,73
2391,14
506,191
40677,537
533,7
1186,48
626,18
1942,1442
34901,28
18771,37
5032,207
1868,18
2571,22
10958,276
2383,94
3369,18
7081,28
22013,10
6582,88
10338,276
38578,18
3125,86
2619,5
1603,28
1865,3
21671,14
1123,18
1550,65
655,11
21013,18
34088,563
34077,28
347,5
13139,111
2110,27
2543,103
38199,1569
2037,36
32906,833
36982,1769
12863,103
231,462
2221,18
40320,839
1651,86
6117,118
771,5
38851,1945
32802,73
37126,73
1442,11
30651,276
473,94
7152,41
33394,1487
295,81
2548,22
163,1
20329,1013
1881,83
30251,70
36784,1265
4936,247
244,28
2907,338
24835,14
3737,330
6560,22
1200,420
375,196
2817,103
4503,103
33240,1296
23213,276
35334,14
607,11
37769,37
2288,196
2215,112
605,1
