anime,zanr
4388,fantasy
4388,magic
4388,novel
4388,seinen
4388,super power
4402,game
4402,high school
4402,romance
4402,school life
4402,seinen
4402,tragedy
4402,visual novel
4403,action
4403,adventure
4403,fantasy
4403,novel
4403,parallel world
4404,comedy
4404,contemporary fantasy
4404,erotic game
4404,fantasy
4404,game
4404,harem
4404,high school
4404,romance
4404,school life
4404,seinen
4404,tragedy
4404,visual novel
4416,action
4416,law and order
4416,novel
4416,police
4416,post-apocalyptic
4416,shounen
4416,super power
4416,swordplay
4416,vampire
4421,action
4421,adventure
4421,coming of age
4421,manga
4421,martial arts
4421,ninja
4421,shounen
4421,super power
4515,action
4515,shounen
4515,swordplay
4516,action
4516,contemporary fantasy
4516,fantasy
4516,manga
4516,shounen
4516,super power
4516,swordplay
4516,violence
4531,erotic game
4531,fantasy
4531,game
4531,romance
4531,seinen
4531,visual novel
4563,nudity
4563,sex
4563,contemporary fantasy
4563,detective
4563,manga
4563,shounen
4563,thriller
4564,contemporary fantasy
4564,detective
4564,fantasy
4564,horror
4564,novel
4564,shoujo
4565,comedy
4565,harem
4565,magic
4565,middle school
4565,school life
4568,daily life
4568,new
4568,romance
4568,school life
4568,seinen
4568,tragedy
4574,nudity
4574,sex
4574,action
4574,contemporary fantasy
4574,demon
4574,fantasy
4574,manga
4574,shounen
4574,super power
4596,action
4596,comedy
4596,high school
4596,manga
4596,martial arts
4596,school life
4596,shounen
4597,action
4597,gunfights
4597,mafia
4597,manga
4597,rotten world
4597,seinen
4597,violence
4638,angst
4638,horror
4638,new
4638,seinen
4638,thriller
4638,tragedy
4638,violence
4681,daily life
4681,manga
4681,seinen
4691,comedy
4691,coming of age
4691,daily life
4691,josei
4691,manga
4691,music
4691,noitaminA
4691,romance
4691,school life
4691,sudden girlfriend appearance
4691,university
4734,bishounen
4734,comedy
4734,manga
4734,reverse harem
4734,shoujo
4734,super deformed
4747,action
4747,comedy
4747,gunfights
4747,mafia
4747,magic
4747,manga
4747,shounen
4747,super power
4747,swordplay
4747,violence
